row_index,sale_year,sale_month,sale_day,sale_quarter,list_year,town_encoded,house_number,has_unit,zipcode,longitude,latitude,year_built,stories,total_bedrms,total_bthrms,living_area_sqft,style_encoded,fiscal_year_end_june30,mortgage30us,cpi_cuur0100sa0,unemployment_rate,housing_supply_actliscouct,mill_rate,gdp_real_estate,home_age_at_sale,living_area_sqft_log1p,sale_amount_log1p
481,2013,2,26,1.0,2012.0,80,339.0,0,6360.0,-72.1029437,41.5261612,1963.0,1.0,3.0,2.0,1176.0,101.0,2013.0,3.56,248.665,8.8,,,37039.7,50.0,7.0707241072602764,11.736077016252436
482,2012,10,22,4.0,2012.0,46,125.0,0,6514.0,-72.9246636,41.3941509,1970.0,1.0,3.0,2.0,1653.0,101.0,2013.0,3.37,247.564,8.1,,,39197.7,42.0,7.410951875583635,12.278397958261774
483,2020,6,30,2.0,2019.0,39,454.0,0,6033.0,-72.5044483,41.7236253,1968.0,2.0,5.0,2.0,2544.0,30.0,2020.0,3.13,272.283,11.4,10225.0,,37034.6,52.0,7.841885928984623,13.03898394237596
484,2019,8,30,3.0,2018.0,11,1781.0,0,6610.0,-73.1677287,41.1914955,1918.0,2.0,3.0,1.0,1048.0,114.0,2020.0,3.58,270.548,3.7,17561.0,,37215.4,101.0,6.955592608396297,11.042937835596494
485,2008,10,31,4.0,2008.0,68,141.0,0,6052.0,-72.8156611,41.6619162,1966.0,1.0,2.0,2.0,1125.0,101.0,2009.0,6.46,230.837,5.8,,,32053.5,42.0,7.026426808699636,11.982935344196433
486,2015,2,24,1.0,2014.0,46,239.0,0,6514.0,-72.9529138,41.3580562,1964.0,1.0,4.0,3.0,1959.0,120.0,2015.0,3.76,250.619,6.4,,39.93,35570.5,51.0,7.580699752224563,12.049424683420916
487,2011,9,13,3.0,2010.0,12,86.0,0,6010.0,-72.9579126,41.6653845,1950.0,1.5,4.0,2.0,1451.0,24.0,2012.0,4.12,243.323,8.7,,,40127.2,61.0,7.280697195384741,12.149507585033072
488,2017,2,24,1.0,2016.0,74,1.0,0,6776.0,-73.3812973,41.5931332,1992.0,2.0,4.0,3.0,2444.0,30.0,2017.0,4.16,258.768,5.2,16276.0,26.77,35485.1,25.0,7.801800401908973,12.727841176689148
489,2009,11,23,4.0,2009.0,37,1058.0,0,6824.0,-73.2535374,41.1609351,1947.0,2.25,3.0,1.0,1596.0,30.0,2010.0,4.83,231.708,8.4,,,37588.0,62.0,7.375882148215011,13.060490101343552
490,2020,9,15,3.0,2019.0,29,58.0,0,6415.0,-72.351254,41.531903,1987.0,2.25,3.0,2.0,2232.0,30.0,2021.0,2.86,273.925,8.5,9044.0,,37034.6,33.0,7.711101251840158,12.70654788843366
491,2009,5,5,2.0,2008.0,37,39.0,0,6824.0,-73.2530372,41.175393,1956.0,1.0,3.0,2.0,1990.0,101.0,2009.0,4.78,228.136,8.0,,,37588.0,53.0,7.596392304064196,12.75130259456002
492,2008,8,5,3.0,2007.0,80,38.0,0,6360.0,-72.0515804,41.5928635,2007.0,2.0,2.0,2.0,1520.0,43.0,2009.0,6.52,233.788,6.0,,,32053.5,1.0,7.327123292259293,12.16993238291356
493,2007,2,15,1.0,2006.0,80,609.0,0,6360.0,-72.0548367,41.5424443,2014.0,2.0,3.0,2.0,2019.0,46.0,2007.0,6.3,216.651,5.0,,,29520.5,,7.61085279039525,12.07096858834533
494,2019,8,23,3.0,2018.0,37,906.0,0,6890.0,-73.281425,41.1518042,1896.0,2.5,5.0,3.0,3711.0,70.0,2020.0,3.55,270.548,3.7,17561.0,,37215.4,123.0,8.21932609390609,13.742940940397675
495,2018,9,7,3.0,2017.0,13,32.0,0,6804.0,-73.3552674,41.4536566,1999.0,2.0,4.0,2.0,2713.0,30.0,2019.0,4.54,266.709,3.4,19161.0,28.34,35023.1,19.0,7.906178840394815,13.161586013632684
496,2020,5,29,2.0,2019.0,15,214.0,0,6013.0,-72.9394731,41.7699281,1993.0,2.0,4.0,2.0,2296.0,30.0,2020.0,3.15,271.345,12.1,10818.0,,37034.6,27.0,7.739359202689098,12.863595239117188
497,2008,12,2,4.0,2008.0,64,4.0,0,6468.0,-73.2386099,41.3072589,1977.0,1.0,3.0,3.0,2204.0,100.0,2009.0,5.97,225.091,6.3,,,32053.5,31.0,7.698482787880946,12.733758336210744
498,2014,9,2,3.0,2013.0,11,200.0,0,6610.0,-73.1647421,41.2189382,1944.0,2.0,4.0,4.0,2272.0,30.0,2015.0,4.1,253.154,6.2,,42.198,35902.5,70.0,7.728855823852543,12.54254845357358
499,2019,5,22,2.0,2018.0,46,26.0,0,6517.0,-72.9112823,41.3549885,1925.0,2.0,3.0,1.0,1390.0,30.0,2019.0,4.07,269.744,3.5,16708.0,,37215.4,94.0,7.237778191923443,12.02874460037869
500,2017,5,2,2.0,2016.0,11,85.0,0,6610.0,-73.1694296,41.188091,2013.0,1.0,3.0,2.0,1264.0,20.0,2017.0,4.03,259.386,4.4,19302.0,,35485.1,4.0,7.142827401161621,11.823354355742923
501,2009,8,14,3.0,2008.0,60,27.0,0,6451.0,-72.8287337,41.5178412,1900.0,2.0,4.0,2.0,1430.0,30.0,2010.0,5.29,230.883,8.6,,,37588.0,109.0,7.266128779556451,11.93164237875414
502,2020,5,19,2.0,2019.0,46,196.0,0,6514.0,-72.9255733,41.3961261,1987.0,1.75,3.0,2.0,2070.0,24.0,2020.0,3.28,271.345,12.1,10818.0,,37034.6,33.0,7.635786861395585,12.560247968016562
503,2018,5,18,2.0,2017.0,37,645.0,0,6825.0,-73.239627,41.2035514,1931.0,2.0,3.0,2.0,1936.0,30.0,2018.0,4.61,265.84,3.8,17506.0,25.82,35023.1,87.0,7.5688956634069955,13.296318365198625
504,2006,11,15,4.0,2006.0,10,6.0,0,6405.0,-72.8443885,41.2811198,1992.0,2.0,3.0,2.0,1534.0,30.0,2007.0,6.33,214.8,4.1,,,30914.5,14.0,7.336285660021297,12.509877789891933
505,2014,7,18,3.0,2013.0,10,130.0,0,6405.0,-72.7877481,41.2841387,1964.0,1.0,3.0,2.0,1590.0,101.0,2015.0,4.13,253.833,7.1,,26.24,35902.5,50.0,7.372118028337787,12.54254845357358
506,2010,8,5,3.0,2009.0,37,2123.0,0,6824.0,-73.2627018,41.1182655,2011.0,2.5,4.0,3.0,2554.0,30.0,2011.0,4.49,234.15,9.6,,,39119.8,,7.845807502637805,13.304686600863562
507,2019,12,5,4.0,2019.0,90,26.0,0,6896.0,-73.4533327,41.3131951,2008.0,2.5,3.0,2.0,4482.0,30.0,2020.0,3.68,270.429,3.1,13335.0,,37215.4,11.0,8.40804774415544,13.629182184591333
508,2008,12,15,4.0,2008.0,37,610.0,0,6824.0,-73.2602296,41.1489287,1966.0,2.0,4.0,3.0,2786.0,30.0,2009.0,5.47,225.091,6.3,,,32053.5,42.0,7.932721027481948,13.560619598657231
509,2008,9,3,3.0,2007.0,37,120.0,0,6824.0,-73.2703071,41.1873654,1969.0,2.0,5.0,4.0,3294.0,30.0,2009.0,6.4,232.841,5.7,,,32053.5,39.0,8.100161446936607,13.560619598657231
510,2010,12,22,4.0,2010.0,12,66.0,0,6010.0,-72.8945157,41.6657873,1959.0,1.0,3.0,2.0,1916.0,101.0,2011.0,4.83,235.141,9.1,,,39119.8,51.0,7.558516743045645,12.520887034998584
